         Vardas             Pavarde     Galutinis(Vid.) / Galutinis(Med)
     Vardas8645         Pavarde8645             5.65333            5.6
     Vardas8646         Pavarde8646                2.88            2.8
     Vardas8647         Pavarde8647             6.98667            7.2
     Vardas8648         Pavarde8648                 6.6            6.6
     Vardas8649         Pavarde8649                2.84              3
      Vardas865          Pavarde865                7.64            7.8
     Vardas8650         Pavarde8650             5.61333            5.4
     Vardas8651         Pavarde8651             3.82667            3.8
     Vardas8652         Pavarde8652             5.77333            5.8
     Vardas8653         Pavarde8653             3.98667            3.8
     Vardas8654         Pavarde8654             7.53333              7
     Vardas8655         Pavarde8655             5.10667              5
     Vardas8656         Pavarde8656             6.81333            7.4
     Vardas8657         Pavarde8657                5.92              6
     Vardas8658         Pavarde8658             7.34667              7
     Vardas8659         Pavarde8659             7.90667            8.2
      Vardas866          Pavarde866             5.78667              6
     Vardas8660         Pavarde8660             8.09333            8.6
     Vardas8661         Pavarde8661             7.94667              8
     Vardas8662         Pavarde8662             6.30667            5.8
     Vardas8663         Pavarde8663                8.72            9.2
     Vardas8664         Pavarde8664                 5.8            5.4
     Vardas8665         Pavarde8665             6.46667            6.6
     Vardas8666         Pavarde8666             3.46667            3.6
     Vardas8667         Pavarde8667                5.52            5.6
     Vardas8668         Pavarde8668                 2.6            2.2
     Vardas8669         Pavarde8669                8.16              8
      Vardas867          Pavarde867             6.98667            7.2
     Vardas8670         Pavarde8670                6.16            6.8
     Vardas8671         Pavarde8671                4.12            4.2
     Vardas8672         Pavarde8672             4.77333            4.8
     Vardas8673         Pavarde8673             4.25333            4.2
     Vardas8674         Pavarde8674             5.33333            5.2
     Vardas8675         Pavarde8675             5.18667              5
     Vardas8676         Pavarde8676             4.97333              5
     Vardas8677         Pavarde8677             6.01333            5.4
     Vardas8678         Pavarde8678             2.17333            2.6
     Vardas8679         Pavarde8679             2.70667            2.6
      Vardas868          Pavarde868                2.92              3
     Vardas8680         Pavarde8680                8.32            8.4
     Vardas8681         Pavarde8681                2.96            2.8
     Vardas8682         Pavarde8682                6.36            6.2
     Vardas8683         Pavarde8683             3.02667              3
     Vardas8684         Pavarde8684             6.14667            6.6
     Vardas8685         Pavarde8685             3.74667            3.4
     Vardas8686         Pavarde8686             4.85333            4.4
     Vardas8687         Pavarde8687                6.52            6.6
     Vardas8688         Pavarde8688             4.10667            3.6
     Vardas8689         Pavarde8689                6.92            6.6
      Vardas869          Pavarde869                4.16              4
     Vardas8690         Pavarde8690             5.78667              6
     Vardas8691         Pavarde8691             5.02667            5.4
     Vardas8692         Pavarde8692                6.24            6.4
     Vardas8693         Pavarde8693             5.37333            5.4
     Vardas8694         Pavarde8694                4.12            4.6
     Vardas8695         Pavarde8695             4.26667            4.4
     Vardas8696         Pavarde8696             7.69333            7.8
     Vardas8697         Pavarde8697             4.42667              4
     Vardas8698         Pavarde8698                8.56            8.4
     Vardas8699         Pavarde8699             7.69333            7.8
       Vardas87           Pavarde87             7.21333              7
      Vardas870          Pavarde870             8.13333            8.4
     Vardas8700         Pavarde8700             4.89333            4.6
     Vardas8701         Pavarde8701                6.28            5.8
     Vardas8702         Pavarde8702                7.44            7.6
     Vardas8703         Pavarde8703                 7.2            7.6
     Vardas8704         Pavarde8704                 2.6            2.2
     Vardas8705         Pavarde8705             7.25333            7.6
     Vardas8706         Pavarde8706             8.18667            8.4
     Vardas8707         Pavarde8707             5.21333              5
     Vardas8708         Pavarde8708             5.37333            5.8
     Vardas8709         Pavarde8709                4.04            4.2
      Vardas871          Pavarde871             3.85333            4.2
     Vardas8710         Pavarde8710             3.22667            3.6
     Vardas8711         Pavarde8711             7.01333            7.2
     Vardas8712         Pavarde8712             7.17333            7.2
     Vardas8713         Pavarde8713             7.50667            7.8
     Vardas8714         Pavarde8714             7.97333              8
     Vardas8715         Pavarde8715             7.89333            7.2
     Vardas8716         Pavarde8716                7.92            8.4
     Vardas8717         Pavarde8717             5.02667              5
     Vardas8718         Pavarde8718             8.05333            8.4
     Vardas8719         Pavarde8719                8.32            8.8
      Vardas872          Pavarde872                 7.8            7.8
     Vardas8720         Pavarde8720                7.56            8.2
     Vardas8721         Pavarde8721             5.13333              5
     Vardas8722         Pavarde8722             5.81333              6
     Vardas8723         Pavarde8723                7.84              8
     Vardas8724         Pavarde8724             3.05333              3
     Vardas8725         Pavarde8725             3.41333            3.6
     Vardas8726         Pavarde8726             3.33333            3.2
     Vardas8727         Pavarde8727             2.46667            2.6
     Vardas8728         Pavarde8728                 2.6            2.6
     Vardas8729         Pavarde8729             2.17333            1.8
      Vardas873          Pavarde873             7.85333            7.8
     Vardas8730         Pavarde8730             4.98667            4.8
     Vardas8731         Pavarde8731             8.45333            8.4
     Vardas8732         Pavarde8732             4.34667              4
     Vardas8733         Pavarde8733             6.86667              7
     Vardas8734         Pavarde8734                 6.4            6.4
     Vardas8735         Pavarde8735             3.34667            3.4
     Vardas8736         Pavarde8736             5.81333              6
     Vardas8737         Pavarde8737                6.36            6.6
     Vardas8738         Pavarde8738             5.10667              5
     Vardas8739         Pavarde8739                   6            6.4
      Vardas874          Pavarde874             4.30667            4.2
     Vardas8740         Pavarde8740             5.46667            5.6
     Vardas8741         Pavarde8741             4.22667            4.6
     Vardas8742         Pavarde8742             3.53333            3.8
     Vardas8743         Pavarde8743             5.62667            5.6
     Vardas8744         Pavarde8744                3.96            3.8
     Vardas8745         Pavarde8745             7.33333            7.6
     Vardas8746         Pavarde8746                7.56            7.4
     Vardas8747         Pavarde8747             7.18667              7
     Vardas8748         Pavarde8748             3.77333            3.4
     Vardas8749         Pavarde8749                5.44            4.8
      Vardas875          Pavarde875                2.88            2.4
     Vardas8750         Pavarde8750             3.01333            2.4
     Vardas8751         Pavarde8751             5.57333            5.2
     Vardas8752         Pavarde8752                3.28            3.2
     Vardas8753         Pavarde8753                6.96            7.2
     Vardas8754         Pavarde8754             2.98667            2.8
     Vardas8755         Pavarde8755             7.30667            7.6
     Vardas8756         Pavarde8756             5.06667            4.8
     Vardas8757         Pavarde8757             4.74667            4.8
     Vardas8758         Pavarde8758             6.02667              6
     Vardas8759         Pavarde8759                3.28            3.2
      Vardas876          Pavarde876             3.26667            3.4
     Vardas8760         Pavarde8760             5.94667              6
     Vardas8761         Pavarde8761                6.44            6.6
     Vardas8762         Pavarde8762                8.24            8.4
     Vardas8763         Pavarde8763             5.02667            5.4
     Vardas8764         Pavarde8764             7.65333            8.4
     Vardas8765         Pavarde8765             4.22667            4.2
     Vardas8766         Pavarde8766                7.12            7.2
     Vardas8767         Pavarde8767             7.06667            7.6
     Vardas8768         Pavarde8768                3.72            3.4
     Vardas8769         Pavarde8769                 7.4            7.4
      Vardas877          Pavarde877             3.82667            3.4
     Vardas8770         Pavarde8770             3.74667            3.8
     Vardas8771         Pavarde8771                3.96            4.6
     Vardas8772         Pavarde8772             8.21333              8
     Vardas8773         Pavarde8773             4.86667              5
     Vardas8774         Pavarde8774                 5.4            5.4
     Vardas8775         Pavarde8775             6.22667            6.2
     Vardas8776         Pavarde8776             3.21333            3.4
     Vardas8777         Pavarde8777                6.32            6.8
     Vardas8778         Pavarde8778             4.46667            4.6
     Vardas8779         Pavarde8779             7.66667            7.4
      Vardas878          Pavarde878             5.21333            4.6
     Vardas8780         Pavarde8780                5.08              5
     Vardas8781         Pavarde8781             5.81333            6.4
     Vardas8782         Pavarde8782             4.94667            4.6
     Vardas8783         Pavarde8783             7.37333            7.4
     Vardas8784         Pavarde8784             3.01333            2.8
     Vardas8785         Pavarde8785             7.45333            7.4
     Vardas8786         Pavarde8786             6.30667            6.2
     Vardas8787         Pavarde8787             6.25333            5.8
     Vardas8788         Pavarde8788             5.18667            5.4
     Vardas8789         Pavarde8789                5.08              5
      Vardas879          Pavarde879             5.74667            5.4
     Vardas8790         Pavarde8790                5.08              5
     Vardas8791         Pavarde8791             3.69333            3.4
     Vardas8792         Pavarde8792             7.82667            7.8
     Vardas8793         Pavarde8793                3.68            3.6
     Vardas8794         Pavarde8794             3.41333            3.2
     Vardas8795         Pavarde8795             5.26667              5
     Vardas8796         Pavarde8796             3.34667            3.8
     Vardas8797         Pavarde8797             7.82667            8.2
     Vardas8798         Pavarde8798             5.30667            5.6
     Vardas8799         Pavarde8799             6.18667              6
       Vardas88           Pavarde88             6.62667            6.6
      Vardas880          Pavarde880                6.44            5.8
     Vardas8800         Pavarde8800             8.50667            8.8
     Vardas8801         Pavarde8801             4.14667            4.2
     Vardas8802         Pavarde8802             3.22667            3.2
     Vardas8803         Pavarde8803             6.57333            6.6
     Vardas8804         Pavarde8804             6.82667            6.8
     Vardas8805         Pavarde8805             3.93333            3.8
     Vardas8806         Pavarde8806                 3.8            3.4
     Vardas8807         Pavarde8807                3.68              4
     Vardas8808         Pavarde8808                6.96            6.8
     Vardas8809         Pavarde8809             2.94667            3.4
      Vardas881          Pavarde881             7.89333              8
     Vardas8810         Pavarde8810                 7.4            7.4
     Vardas8811         Pavarde8811             5.57333            5.6
     Vardas8812         Pavarde8812             5.49333            5.2
     Vardas8813         Pavarde8813             6.41333            6.6
     Vardas8814         Pavarde8814             4.37333              4
     Vardas8815         Pavarde8815                5.56            5.8
     Vardas8816         Pavarde8816                3.24            3.4
     Vardas8817         Pavarde8817             3.18667            3.4
     Vardas8818         Pavarde8818                8.48            8.4
     Vardas8819         Pavarde8819                7.04            7.2
      Vardas882          Pavarde882                4.84            4.6
     Vardas8820         Pavarde8820             4.18667              4
     Vardas8821         Pavarde8821             3.42667            3.4
     Vardas8822         Pavarde8822                5.76            5.2
     Vardas8823         Pavarde8823                6.36            6.2
     Vardas8824         Pavarde8824             3.13333            3.4
     Vardas8825         Pavarde8825             5.53333            5.8
     Vardas8826         Pavarde8826                   6              6
     Vardas8827         Pavarde8827             2.78667            2.6
     Vardas8828         Pavarde8828                2.92              3
     Vardas8829         Pavarde8829                3.96            4.2
      Vardas883          Pavarde883             8.46667              9
     Vardas8830         Pavarde8830             3.05333              3
     Vardas8831         Pavarde8831             5.22667            5.6
     Vardas8832         Pavarde8832                   3            2.6
     Vardas8833         Pavarde8833             2.94667              3
     Vardas8834         Pavarde8834             8.02667              8
     Vardas8835         Pavarde8835             6.17333            6.2
     Vardas8836         Pavarde8836                7.12            7.2
     Vardas8837         Pavarde8837                 5.6            5.6
     Vardas8838         Pavarde8838             7.53333            7.4
     Vardas8839         Pavarde8839             4.42667            4.8
      Vardas884          Pavarde884             4.69333            5.2
     Vardas8840         Pavarde8840             5.70667              6
     Vardas8841         Pavarde8841             3.89333              4
     Vardas8842         Pavarde8842             6.10667            6.4
     Vardas8843         Pavarde8843             8.29333            8.4
     Vardas8844         Pavarde8844             5.33333            4.8
     Vardas8845         Pavarde8845             3.94667              4
     Vardas8846         Pavarde8846                 4.4            4.4
     Vardas8847         Pavarde8847             3.77333            3.8
     Vardas8848         Pavarde8848             5.05333              5
     Vardas8849         Pavarde8849                4.04            4.2
      Vardas885          Pavarde885                5.96            5.4
     Vardas8850         Pavarde8850                4.12            4.2
     Vardas8851         Pavarde8851                2.52            2.6
     Vardas8852         Pavarde8852             7.85333            7.8
     Vardas8853         Pavarde8853             5.13333            5.4
     Vardas8854         Pavarde8854             7.90667            8.2
     Vardas8855         Pavarde8855             7.10667            6.6
     Vardas8856         Pavarde8856             8.61333            9.2
     Vardas8857         Pavarde8857             6.46667            6.2
     Vardas8858         Pavarde8858                3.72              3
     Vardas8859         Pavarde8859                5.84              6
      Vardas886          Pavarde886             3.46667            3.6
     Vardas8860         Pavarde8860                 4.2            4.6
     Vardas8861         Pavarde8861             7.41333            7.6
     Vardas8862         Pavarde8862             2.62667            2.6
     Vardas8863         Pavarde8863             7.34667            7.4
     Vardas8864         Pavarde8864             8.29333            8.8
     Vardas8865         Pavarde8865             7.53333            7.4
     Vardas8866         Pavarde8866             4.81333              5
     Vardas8867         Pavarde8867             3.97333            3.6
     Vardas8868         Pavarde8868                3.12            3.2
     Vardas8869         Pavarde8869             4.25333            4.2
      Vardas887          Pavarde887             5.54667            5.6
     Vardas8870         Pavarde8870             8.26667            8.4
     Vardas8871         Pavarde8871             3.14667            2.8
     Vardas8872         Pavarde8872                3.88            3.4
     Vardas8873         Pavarde8873             7.74667            7.8
     Vardas8874         Pavarde8874             4.61333            4.8
     Vardas8875         Pavarde8875             3.58667            3.8
     Vardas8876         Pavarde8876                2.84            2.6
     Vardas8877         Pavarde8877             5.57333            5.6
     Vardas8878         Pavarde8878                4.12            4.2
     Vardas8879         Pavarde8879             2.46667            2.6
      Vardas888          Pavarde888             7.66667            7.8
     Vardas8880         Pavarde8880             3.25333            3.6
     Vardas8881         Pavarde8881             3.77333            3.4
     Vardas8882         Pavarde8882                7.56            7.4
     Vardas8883         Pavarde8883                5.24              5
     Vardas8884         Pavarde8884                4.44              5
     Vardas8885         Pavarde8885             8.02667              8
     Vardas8886         Pavarde8886             3.01333            3.2
     Vardas8887         Pavarde8887             5.05333              5
     Vardas8888         Pavarde8888                4.76            4.2
     Vardas8889         Pavarde8889                2.84              3
      Vardas889          Pavarde889             5.42667            5.4
     Vardas8890         Pavarde8890                6.52              7
     Vardas8891         Pavarde8891                5.76              6
     Vardas8892         Pavarde8892                6.56              6
     Vardas8893         Pavarde8893             2.86667              3
     Vardas8894         Pavarde8894             7.37333            7.4
     Vardas8895         Pavarde8895                3.72            3.4
     Vardas8896         Pavarde8896                 4.8            5.2
     Vardas8897         Pavarde8897             5.81333              6
     Vardas8898         Pavarde8898                6.88            6.8
     Vardas8899         Pavarde8899                7.52            7.6
       Vardas89           Pavarde89             5.85333            6.2
      Vardas890          Pavarde890                8.08              8
     Vardas8900         Pavarde8900                   8              8
     Vardas8901         Pavarde8901             7.77333            7.8
     Vardas8902         Pavarde8902             3.85333            3.4
     Vardas8903         Pavarde8903             5.97333              6
     Vardas8904         Pavarde8904             3.26667            3.4
     Vardas8905         Pavarde8905             7.33333            7.6
     Vardas8906         Pavarde8906             4.73333            4.2
     Vardas8907         Pavarde8907             6.37333            6.8
     Vardas8908         Pavarde8908             4.34667            4.4
     Vardas8909         Pavarde8909             6.93333            6.8
      Vardas891          Pavarde891                4.88            4.4
     Vardas8910         Pavarde8910             5.06667            5.2
     Vardas8911         Pavarde8911             2.90667            2.8
     Vardas8912         Pavarde8912             7.22667            7.6
     Vardas8913         Pavarde8913             4.85333            5.2
     Vardas8914         Pavarde8914             5.29333              5
     Vardas8915         Pavarde8915             3.93333            4.2
     Vardas8916         Pavarde8916             7.34667            7.4
     Vardas8917         Pavarde8917             7.45333              7
     Vardas8918         Pavarde8918                7.08            6.6
     Vardas8919         Pavarde8919                4.56            4.4
      Vardas892          Pavarde892             4.37333              4
     Vardas8920         Pavarde8920             8.29333            8.4
     Vardas8921         Pavarde8921             5.81333            6.4
     Vardas8922         Pavarde8922                8.72            9.2
     Vardas8923         Pavarde8923             6.38667            6.6
     Vardas8924         Pavarde8924             6.53333            7.2
     Vardas8925         Pavarde8925             7.65333            6.8
     Vardas8926         Pavarde8926             7.78667              8
     Vardas8927         Pavarde8927                4.12            4.2
     Vardas8928         Pavarde8928                7.44            7.6
     Vardas8929         Pavarde8929             6.85333            6.8
      Vardas893          Pavarde893                2.52            2.2
     Vardas8930         Pavarde8930             6.62667              7
     Vardas8931         Pavarde8931             3.93333            3.8
     Vardas8932         Pavarde8932                4.04            3.8
     Vardas8933         Pavarde8933             5.81333            5.6
     Vardas8934         Pavarde8934             6.73333              7
     Vardas8935         Pavarde8935             2.73333              3
     Vardas8936         Pavarde8936             6.54667              7
     Vardas8937         Pavarde8937             8.34667            8.4
     Vardas8938         Pavarde8938             5.86667              6
     Vardas8939         Pavarde8939             5.33333            5.2
      Vardas894          Pavarde894             6.90667            6.4
     Vardas8940         Pavarde8940                2.76            2.2
     Vardas8941         Pavarde8941             5.69333            5.8
     Vardas8942         Pavarde8942             7.14667            7.2
     Vardas8943         Pavarde8943             8.26667            8.4
     Vardas8944         Pavarde8944             7.42667            7.8
     Vardas8945         Pavarde8945             6.98667            6.8
     Vardas8946         Pavarde8946                3.64              3
     Vardas8947         Pavarde8947                5.16              5
     Vardas8948         Pavarde8948             6.50667              6
     Vardas8949         Pavarde8949             5.18667            5.4
      Vardas895          Pavarde895             4.53333            4.4
     Vardas8950         Pavarde8950                5.16            5.4
     Vardas8951         Pavarde8951             5.01333            5.2
     Vardas8952         Pavarde8952                2.36            1.8
     Vardas8953         Pavarde8953             5.78667            5.6
     Vardas8954         Pavarde8954             6.17333            5.8
     Vardas8955         Pavarde8955             3.41333            3.6
     Vardas8956         Pavarde8956                8.48            8.4
     Vardas8957         Pavarde8957             8.82667            9.2
     Vardas8958         Pavarde8958             4.53333            4.4
     Vardas8959         Pavarde8959             7.86667            7.6
      Vardas896          Pavarde896             4.89333            4.6
     Vardas8960         Pavarde8960                3.44            3.2
     Vardas8961         Pavarde8961             4.53333            4.4
     Vardas8962         Pavarde8962             7.94667              8
     Vardas8963         Pavarde8963             6.97333            7.4
     Vardas8964         Pavarde8964                 8.2            8.6
     Vardas8965         Pavarde8965                2.84              3
     Vardas8966         Pavarde8966                   5              5
     Vardas8967         Pavarde8967                 5.6            5.6
     Vardas8968         Pavarde8968                6.84              7
     Vardas8969         Pavarde8969             4.34667              4
      Vardas897          Pavarde897                 4.4            4.4
     Vardas8970         Pavarde8970             4.45333            4.4
     Vardas8971         Pavarde8971             2.70667            2.6
     Vardas8972         Pavarde8972                7.04            7.2
     Vardas8973         Pavarde8973             3.61333            3.4
     Vardas8974         Pavarde8974                4.48            4.4
     Vardas8975         Pavarde8975                3.16            3.4
     Vardas8976         Pavarde8976                7.04            6.8
     Vardas8977         Pavarde8977                8.12            8.2
     Vardas8978         Pavarde8978             4.34667            3.6
     Vardas8979         Pavarde8979                6.56            6.8
      Vardas898          Pavarde898             4.86667            5.4
     Vardas8980         Pavarde8980                3.44            3.2
     Vardas8981         Pavarde8981                8.32              8
     Vardas8982         Pavarde8982                5.44            5.2
     Vardas8983         Pavarde8983             2.30667            1.8
     Vardas8984         Pavarde8984             3.62667            4.4
     Vardas8985         Pavarde8985             8.37333            8.4
     Vardas8986         Pavarde8986             3.41333            3.6
     Vardas8987         Pavarde8987             3.81333              4
     Vardas8988         Pavarde8988                6.68            6.6
     Vardas8989         Pavarde8989             5.30667            5.2
      Vardas899          Pavarde899             7.90667            7.8
     Vardas8990         Pavarde8990             6.65333            6.6
     Vardas8991         Pavarde8991             6.02667              6
     Vardas8992         Pavarde8992             3.73333            3.6
     Vardas8993         Pavarde8993                8.36            8.2
     Vardas8994         Pavarde8994                5.12            5.6
     Vardas8995         Pavarde8995             3.21333            3.4
     Vardas8996         Pavarde8996             4.26667            4.4
     Vardas8997         Pavarde8997                4.96            5.2
     Vardas8998         Pavarde8998                4.08              4
     Vardas8999         Pavarde8999             5.26667            5.8
        Vardas9            Pavarde9             6.89333              7
       Vardas90           Pavarde90                7.72            8.2
      Vardas900          Pavarde900             6.38667            6.6
     Vardas9000         Pavarde9000             7.18667            7.4
     Vardas9001         Pavarde9001             3.25333            3.2
     Vardas9002         Pavarde9002             4.53333            4.4
     Vardas9003         Pavarde9003             3.46667            3.2
     Vardas9004         Pavarde9004                 4.2            4.2
     Vardas9005         Pavarde9005             6.06667            5.8
     Vardas9006         Pavarde9006             7.85333            7.8
     Vardas9007         Pavarde9007             5.18667              5
     Vardas9008         Pavarde9008             3.25333            3.6
     Vardas9009         Pavarde9009                6.16            6.4
      Vardas901          Pavarde901             5.94667            5.6
     Vardas9010         Pavarde9010             3.38667            3.6
     Vardas9011         Pavarde9011             4.05333            3.6
     Vardas9012         Pavarde9012             6.82667            6.8
     Vardas9013         Pavarde9013                7.96            8.2
     Vardas9014         Pavarde9014                2.92              3
     Vardas9015         Pavarde9015                5.88            5.4
     Vardas9016         Pavarde9016             7.62667            7.2
     Vardas9017         Pavarde9017                 2.6            2.6
     Vardas9018         Pavarde9018                7.64            7.4
     Vardas9019         Pavarde9019             5.26667              5
      Vardas902          Pavarde902             6.46667            6.6
     Vardas9020         Pavarde9020             6.21333              6
     Vardas9021         Pavarde9021             7.97333            7.6
     Vardas9022         Pavarde9022                4.92            4.6
     Vardas9023         Pavarde9023             4.10667              4
     Vardas9024         Pavarde9024             4.10667            4.4
     Vardas9025         Pavarde9025             4.94667            4.6
     Vardas9026         Pavarde9026             2.85333            2.8
     Vardas9027         Pavarde9027                3.08              3
     Vardas9028         Pavarde9028             7.42667              7
     Vardas9029         Pavarde9029             6.05333            6.4
      Vardas903          Pavarde903             5.30667            5.6
     Vardas9030         Pavarde9030             7.61333            7.8
     Vardas9031         Pavarde9031             5.29333            5.8
     Vardas9032         Pavarde9032             6.86667              7
     Vardas9033         Pavarde9033                4.12            4.2
     Vardas9034         Pavarde9034             4.01333            3.8
     Vardas9035         Pavarde9035                7.24            6.6
     Vardas9036         Pavarde9036                7.72            8.2
     Vardas9037         Pavarde9037             3.10667            3.4
     Vardas9038         Pavarde9038             6.97333              7
     Vardas9039         Pavarde9039             6.82667            6.8
      Vardas904          Pavarde904             2.09333            1.8
     Vardas9040         Pavarde9040             5.93333            5.8
     Vardas9041         Pavarde9041             7.61333            7.8
     Vardas9042         Pavarde9042                7.16            7.4
     Vardas9043         Pavarde9043             6.85333            7.2
     Vardas9044         Pavarde9044             4.97333            4.6
     Vardas9045         Pavarde9045                   6            6.4
     Vardas9046         Pavarde9046                2.36            2.6
     Vardas9047         Pavarde9047             8.18667              8
     Vardas9048         Pavarde9048                3.12            2.8
     Vardas9049         Pavarde9049                3.36            3.6
      Vardas905          Pavarde905             5.57333            5.6
     Vardas9050         Pavarde9050             4.01333            4.2
     Vardas9051         Pavarde9051                4.56            4.8
     Vardas9052         Pavarde9052                6.36              7
     Vardas9053         Pavarde9053             2.85333            2.8
     Vardas9054         Pavarde9054             4.50667            4.4
     Vardas9055         Pavarde9055             7.37333            7.4
     Vardas9056         Pavarde9056             5.94667              6
     Vardas9057         Pavarde9057             6.17333            5.8
     Vardas9058         Pavarde9058                4.16              4
     Vardas9059         Pavarde9059                4.52            4.6
      Vardas906          Pavarde906             3.62667            3.6
     Vardas9060         Pavarde9060             3.62667            3.6
     Vardas9061         Pavarde9061                4.32              4
     Vardas9062         Pavarde9062                4.96            5.6
     Vardas9063         Pavarde9063             5.62667              6
     Vardas9064         Pavarde9064                6.88            6.4
     Vardas9065         Pavarde9065                4.48            4.4
     Vardas9066         Pavarde9066             3.09333            2.8
     Vardas9067         Pavarde9067             7.61333            7.8
     Vardas9068         Pavarde9068             5.46667            5.2
     Vardas9069         Pavarde9069             5.73333            5.6
      Vardas907          Pavarde907             6.61333            6.4
     Vardas9070         Pavarde9070             2.62667            2.6
     Vardas9071         Pavarde9071             6.98667            6.8
     Vardas9072         Pavarde9072             3.90667            3.8
     Vardas9073         Pavarde9073                5.24              5
     Vardas9074         Pavarde9074                7.36            7.6
     Vardas9075         Pavarde9075                 8.4            8.8
     Vardas9076         Pavarde9076             7.97333              8
     Vardas9077         Pavarde9077             5.13333            4.6
     Vardas9078         Pavarde9078                4.84              5
     Vardas9079         Pavarde9079             5.34667              5
      Vardas908          Pavarde908             6.21333            6.4
     Vardas9080         Pavarde9080                3.16            3.4
     Vardas9081         Pavarde9081                6.28            6.2
     Vardas9082         Pavarde9082             7.50667            7.4
     Vardas9083         Pavarde9083             5.37333              5
     Vardas9084         Pavarde9084             7.06667            7.6
     Vardas9085         Pavarde9085                8.56            8.4
     Vardas9086         Pavarde9086             3.58667            3.8
     Vardas9087         Pavarde9087             3.85333            3.8
     Vardas9088         Pavarde9088             8.34667              8
     Vardas9089         Pavarde9089                 7.8            7.4
      Vardas909          Pavarde909             6.61333            6.4
     Vardas9090         Pavarde9090             6.34667            6.4
     Vardas9091         Pavarde9091             5.18667            5.4
     Vardas9092         Pavarde9092                 7.6            7.6
     Vardas9093         Pavarde9093             6.25333            6.2
     Vardas9094         Pavarde9094                2.92            3.4
     Vardas9095         Pavarde9095                4.72            4.8
     Vardas9096         Pavarde9096                7.84              8
     Vardas9097         Pavarde9097             4.18667            3.6
     Vardas9098         Pavarde9098             3.70667            3.6
     Vardas9099         Pavarde9099             3.05333              3
       Vardas91           Pavarde91             6.93333              6
      Vardas910          Pavarde910             8.26667            8.4
     Vardas9100         Pavarde9100                3.32            3.4
     Vardas9101         Pavarde9101             4.89333              5
     Vardas9102         Pavarde9102             5.86667            6.4
     Vardas9103         Pavarde9103                6.08              6
     Vardas9104         Pavarde9104             7.53333              7
     Vardas9105         Pavarde9105                4.12            4.2
     Vardas9106         Pavarde9106                 7.8            8.2
     Vardas9107         Pavarde9107             4.21333            4.4
     Vardas9108         Pavarde9108             5.78667              6
     Vardas9109         Pavarde9109             5.86667            6.8
      Vardas911          Pavarde911                   5              5
     Vardas9110         Pavarde9110                7.84            7.6
     Vardas9111         Pavarde9111             5.74667            5.4
     Vardas9112         Pavarde9112             2.62667              3
     Vardas9113         Pavarde9113                6.28            6.2
     Vardas9114         Pavarde9114                7.88            8.6
     Vardas9115         Pavarde9115             7.85333            7.8
     Vardas9116         Pavarde9116             5.37333              5
     Vardas9117         Pavarde9117             3.45333              3
     Vardas9118         Pavarde9118                5.68            5.6
     Vardas9119         Pavarde9119             5.02667              5
      Vardas912          Pavarde912             4.01333            3.8
     Vardas9120         Pavarde9120                3.04            2.8
     Vardas9121         Pavarde9121             6.98667            6.8
     Vardas9122         Pavarde9122             7.34667              7
     Vardas9123         Pavarde9123                3.72              3
     Vardas9124         Pavarde9124             3.90667            3.8
     Vardas9125         Pavarde9125                6.72            6.8
     Vardas9126         Pavarde9126             4.33333            4.6
     Vardas9127         Pavarde9127             6.10667            6.4
     Vardas9128         Pavarde9128             2.46667            2.6
     Vardas9129         Pavarde9129             3.66667              3
      Vardas913          Pavarde913             5.33333            4.8
     Vardas9130         Pavarde9130                6.96            6.8
     Vardas9131         Pavarde9131             3.78667            3.6
     Vardas9132         Pavarde9132                   6              6
     Vardas9133         Pavarde9133                4.48            4.4
     Vardas9134         Pavarde9134             6.86667              7
     Vardas9135         Pavarde9135                4.56            4.4
     Vardas9136         Pavarde9136             4.93333            4.8
     Vardas9137         Pavarde9137                3.76              4
     Vardas9138         Pavarde9138             5.78667            5.2
     Vardas9139         Pavarde9139                7.24              7
      Vardas914          Pavarde914             2.30667            1.8
     Vardas9140         Pavarde9140             5.53333            5.4
     Vardas9141         Pavarde9141             4.41333            4.6
     Vardas9142         Pavarde9142             2.85333            2.8
     Vardas9143         Pavarde9143             7.85333            7.8
     Vardas9144         Pavarde9144             7.18667              7
     Vardas9145         Pavarde9145                   6              6
     Vardas9146         Pavarde9146             4.93333            4.8
     Vardas9147         Pavarde9147                 8.4            8.4
     Vardas9148         Pavarde9148                6.72            6.8
     Vardas9149         Pavarde9149             4.66667            4.8
      Vardas915          Pavarde915                6.92            6.6
     Vardas9150         Pavarde9150             8.25333            8.6
     Vardas9151         Pavarde9151             7.81333            7.6
     Vardas9152         Pavarde9152             3.65333            3.6
     Vardas9153         Pavarde9153             5.73333              6
     Vardas9154         Pavarde9154             3.41333            3.2
     Vardas9155         Pavarde9155                4.88            5.2
     Vardas9156         Pavarde9156             5.49333            5.2
     Vardas9157         Pavarde9157             5.85333            5.4
     Vardas9158         Pavarde9158             4.85333            5.2
     Vardas9159         Pavarde9159                5.52            5.2
      Vardas916          Pavarde916                6.36            6.2
     Vardas9160         Pavarde9160                3.88            4.6
     Vardas9161         Pavarde9161             5.05333              5
     Vardas9162         Pavarde9162                4.76            4.6
     Vardas9163         Pavarde9163             4.10667              4
     Vardas9164         Pavarde9164             3.30667            3.6
     Vardas9165         Pavarde9165                3.12            3.2
     Vardas9166         Pavarde9166             5.45333            5.4
     Vardas9167         Pavarde9167             8.26667            8.4
